,FEAT,P_VALUE,LR_WEIGHT
317,arrangements,0.10473150547903773,0.0
318,arrest,0.2646732898782562,0.0
319,arrested,0.7207384539725724,0.0
320,arrival,0.7350423370216996,0.0
321,arrived,0.24014116445823575,0.0
322,article,0.9034485233855158,0.0
323,articles,0.6041053982902214,0.0
324,artist,0.8791149067553178,0.0
325,artistic,0.663658553412483,0.0
326,artists,0.1431053820443461,0.0
327,arts,0.916100990963404,0.0
328,aside,0.8125613524350679,0.0
329,asking,0.6884572255540663,0.0
330,aspects,0.025816300862031606,0.0
331,assassination,0.5713526618685412,0.0
332,assembly,0.03591101684590751,0.0
333,asserted,0.1622289408623624,0.0
334,assigned,0.23074008602363116,0.0
335,assignment,0.7932605742711387,0.0
336,assistance,0.23803129919611776,0.0
337,assistant,0.0022628096263555505,0.0
338,associate,0.3873256096554504,0.0
339,associated,0.10934923362371618,0.0
340,associates,0.01578859076990092,0.0
341,association,1.0,0.0
342,assumed,0.023069396641496303,0.0
343,assured,0.44957572270028956,0.0
344,astonished,0.29943686576190487,0.0
345,atlanta,0.6784878674825092,-0.01185616467834112
346,atlantic,0.057006013966638035,0.0
347,atmosphere,0.5485922045426518,0.0
348,atomic,0.11494901797741992,0.0
349,attached,0.11825864094529404,0.0
350,attack,0.21426196905677075,0.0
351,attacked,0.06488360951695157,0.0
352,attacks,0.38114352905121807,0.0
353,attempt,0.032761433671548774,0.0
354,attempted,0.4711871920116032,0.0
355,attempts,1.0,0.0
356,attend,0.4074097342972206,0.0
357,attended,0.6706849663896897,0.0
358,attending,1.0,0.0
359,attention,0.9191751734850421,0.0
360,attitude,0.5031944302773437,0.0
361,attorney,0.14302917380899383,0.0
362,attracted,0.0926508073633621,0.0
363,attributed,0.2787738924886003,0.0
364,audience,0.5410229682512135,0.0
365,audiences,0.03743404335257044,0.0
366,aug,0.04559417962299569,0.0
367,author,0.35938950536745706,0.0
368,authorities,0.22008915995175837,0.0
369,authority,0.07376145921929422,0.0
370,authors,0.20635151060468726,0.0
371,autobiography,0.6398065252243887,0.0
372,automobile,0.145562329519657,0.0
373,avenue,0.3389828116971034,-0.4371840439658272
374,average,0.030742467782660873,0.0
