Voyage ID,Vessel name,Voyage ship place where vessel registered ,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Total embarked,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Percent men,Percent women,Percent children,Mortality rate,Captain's name,Resistance label
8281,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1785,,,,,,"Araújo, João Antônio de",
8282,Divino Espírito Santo S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Pereira, Francisco Gomes",
8283,NS da Barroquinha S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Silva, José Joaquim da",
8284,NS de Belém S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Rosa, Antônio de Souza",
8285,NS da Conceição e S Bento,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Vargas, Antônio da Silva",
8286,NS da Conceição Santana e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Pereira, Joaquim",
8287,Paquete Volante,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Araújo, Aleixo de",
8289,NS dos Prazeres e Mãe dos Homens,,Rio de Janeiro,Luanda,Rio de Janeiro,,1786,,,,,,"Lopes, Francisco de Paula",
8290,Sr do Bonfim e NS dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Flamante, Manoel Francisco",
8291,"NS da Piedade, S Antônio e Almas (a) Jararaca",,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Barbosa, José Pinto",
8292,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Melo, José Pereira de",
8293,NS do Monte do Carmo e S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Miranda, Bernardo de",
8294,NS do Monte do Carmo e Sr do Bonfim,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Chamiço, Silvestre José de Oliveira",
8295,NS da Conceição e S Bento,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Gameiro, Antônio Rodrigues",
8296,NS de Belém S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Guedes, João Vaz Pinheiro",
8297,NS da Barroquinha S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Souza, Francisco José de",
8298,NS do Bonsucesso S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1787,,,,,,"Vargas, Antônio José",
8299,NS dos Prazeres e Mãe dos Homens,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Machado, Francisco de Paula",
8300,NS do Rosario S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Viana, Antônio José",
8301,Divino Espírito Santo,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Oliveira, Antônio Manoel de",
8302,Sr do Bonfim e NS dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Flamante, Manoel Francisco",
8303,NS da Conceição e S Rita,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Amaral, João Homem do",
8304,S José NS da Conceição S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Garcia, João",
8305,NS da Conceição e S Bento,,Rio de Janeiro,Luanda,Maranhao,,1789,116,,,,,"Rodrigues, Antônio José",
8306,S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Miranda, Tomás da Costa",
8307,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1788,,,,,,"Rosa, Antônio de Souza",
8308,NS da Piedade S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Figueiredo, João Luís de",
8309,NS da Piedade e S Boaventura,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Vieira, Manoel Bernardes",
8310,Santana e S José,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Alves, Luís Xavier",
8311,NS do Bonsucesso S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Vargas, Antônio José",
8312,Sr do Bonfim e NS dos Prazeres,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Flamante, Manoel Francisco",
8313,NS das Brotas e S João Nepomuceno,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Lopes, Francisco de Paula",
8314,NS da Boa Viagem e Santana,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Rosa, Antônio de Souza",
8315,NS da Guia e Santíssimo Sacramento,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Melo, José Rodrigues de",
8316,NS da Barroquinha S Antônio e Almas,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Araújo, Aleixo de",
8317,S João Diligente,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,"Oliveira, Manoel Dias de",
8318, ,,Rio de Janeiro,Luanda,Rio de Janeiro,,1789,,,,,,,
